mysql> select * from Dates_D;
+---------+------------+-----------+-------------+--------------+-------------+--------------+------------+---------+--------------+-----------+---------------+-----------------+------+
| date_id | date       | day       | day_of_week | day_of_month | day_of_year | previous_day | next_day   | weekend | week_of_year | month     | month_of_year | quarter_of_year | year |
|     103 | 2010-04-14 | Wednesday |           4 |           14 |         104 | 2010-04-13   | 2010-04-15 | Weekday | 15           | April     | 04            |               2 | 2010 |
|     104 | 2010-04-15 | Thursday  |           5 |           15 |         105 | 2010-04-14   | 2010-04-16 | Weekday | 15           | April     | 04            |               2 | 2010 |
|     105 | 2010-04-16 | Friday    |           6 |           16 |         106 | 2010-04-15   | 2010-04-17 | Weekday | 15           | April     | 04            |               2 | 2010 |
|     106 | 2010-04-17 | Saturday  |           7 |           17 |         107 | 2010-04-16   | 2010-04-18 | Weekend | 15           | April     | 04            |               2 | 2010 |
|     107 | 2010-04-18 | Sunday    |           1 |           18 |         108 | 2010-04-17   | 2010-04-19 | Weekend | 16           | April     | 04            |               2 | 2010 |
|     108 | 2010-04-19 | Monday    |           2 |           19 |         109 | 2010-04-18   | 2010-04-20 | Weekday | 16           | April     | 04            |               2 | 2010 |
|     109 | 2010-04-20 | Tuesday   |           3 |           20 |         110 | 2010-04-19   | 2010-04-21 | Weekday | 16           | April     | 04            |               2 | 2010 |
|     110 | 2010-04-21 | Wednesday |           4 |           21 |         111 | 2010-04-20   | 2010-04-22 | Weekday | 16           | April     | 04            |               2 | 2010 |
|     111 | 2010-04-22 | Thursday  |           5 |           22 |         112 | 2010-04-21   | 2010-04-23 | Weekday | 16           | April     | 04            |               2 | 2010 |
|     112 | 2010-04-23 | Friday    |           6 |           23 |         113 | 2010-04-22   | 2010-04-24 | Weekday | 16           | April     | 04            |               2 | 2010 |
|     113 | 2010-04-24 | Saturday  |           7 |           24 |         114 | 2010-04-23   | 2010-04-25 | Weekend | 16           | April     | 04            |               2 | 2010 |
|     114 | 2010-04-25 | Sunday    |           1 |           25 |         115 | 2010-04-24   | 2010-04-26 | Weekend | 17           | April     | 04            |               2 | 2010 |
